menu_item,category_item,class_item,Unnamed: 3,item_id,Unnamed: 5,3NF,menu_item_code,category_item_code,class_item_code,final_unique_code
Single Classic Burger Value Meal Large,Classic Burger,Beef,,,,,SCBVML,CB,BE,SCBVMLCBBE
Double Classic Burger,Classic Burger,Beef,,,,,DCB,CB,BE,DCBCBBE
Double Classic Burger Small,Classic Burger,Beef,,,,,DCBS,CB,BE,DCBSCBBE
Double Classic Burger Medium,Classic Burger,Beef,,,,,DCBM,CB,BE,DCBMCBBE
Double Classic Burger Large,Classic Burger,Beef,,,,,DCBL,CB,BE,DCBLCBBE
Double Classic Burger Extra Large,Classic Burger,Beef,,,,,DCBEL,CB,BE,DCBELCBBE
Double Classic Burger King Size,Classic Burger,Beef,,,,,DCBKS,CB,BE,DCBKSCBBE
Double Classic Burger Family Size,Classic Burger,Beef,,,,,DCBFS,CB,BE,DCBFSCBBE
Double Classic Burger Combo,Classic Burger,Beef,,,,,DCBC,CB,BE,DCBCCBBE
Double Classic Burger Value Meal,Classic Burger,Beef,,,,,DCBVM,CB,BE,DCBVMCBBE
Double Classic Burger Deluxe Meal,Classic Burger,Beef,,,,,DCBDM,CB,BE,DCBDMCBBE
Double Classic Burger Family Meal,Classic Burger,Beef,,,,,DCBFM,CB,BE,DCBFMCBBE
Grilled Double Classic Burger,Classic Burger,Beef,,,,,GDCB,CB,BE,GDCBCBBE
Fried Double Classic Burger,Classic Burger,Beef,,,,,FDCB,CB,BE,FDCBCBBE
Baked Double Classic Burger,Classic Burger,Beef,,,,,BDCB,CB,BE,BDCBCBBE
Fresh Double Classic Burger,Classic Burger,Beef,,,,,FDCB,CB,BE,FDCBCBBE
Double Classic Burger Extra Crispy,Classic Burger,Beef,,,,,DCBEC,CB,BE,DCBECCBBE
Double Classic Burger No Mayo,Classic Burger,Beef,,,,,DCBNM,CB,BE,DCBNMCBBE
Double Classic Burger Extra Cheese,Classic Burger,Beef,,,,,DCBEC,CB,BE,DCBECCBBE
Double Classic Burger Spicy,Classic Burger,Beef,,,,,DCBS,CB,BE,DCBSCBBE
Double Classic Burger Mild,Classic Burger,Beef,,,,,DCBM,CB,BE,DCBMCBBE
Double Classic Burger BBQ,Classic Burger,Beef,,,,,DCBB,CB,BE,DCBBCBBE
Double Classic Burger on Sesame Bun,Classic Burger,Beef,,,,,DCBoSB,CB,BE,DCBoSBCBBE
Double Classic Burger on Brioche,Classic Burger,Beef,,,,,DCBoB,CB,BE,DCBoBCBBE
Double Classic Burger on Whole Wheat,Classic Burger,Beef,,,,,DCBoWW,CB,BE,DCBoWWCBBE
Double Classic Burger on Sourdough,Classic Burger,Beef,,,,,DCBoS,CB,BE,DCBoSCBBE
Double Classic Burger Combo Small,Classic Burger,Beef,,,,,DCBCS,CB,BE,DCBCSCBBE
Double Classic Burger Value Meal Small,Classic Burger,Beef,,,,,DCBVMS,CB,BE,DCBVMSCBBE
Double Classic Burger Combo Medium,Classic Burger,Beef,,,,,DCBCM,CB,BE,DCBCMCBBE
Double Classic Burger Value Meal Medium,Classic Burger,Beef,,,,,DCBVMM,CB,BE,DCBVMMCBBE
Double Classic Burger Combo Large,Classic Burger,Beef,,,,,DCBCL,CB,BE,DCBCLCBBE
Double Classic Burger Value Meal Large,Classic Burger,Beef,,,,,DCBVML,CB,BE,DCBVMLCBBE
Deluxe Premium Burger,Premium Burger,Beef,,,,,DPB,PB,BE,DPBPBBE
Deluxe Premium Burger Small,Premium Burger,Beef,,,,,DPBS,PB,BE,DPBSPBBE
Deluxe Premium Burger Medium,Premium Burger,Beef,,,,,DPBM,PB,BE,DPBMPBBE
Deluxe Premium Burger Large,Premium Burger,Beef,,,,,DPBL,PB,BE,DPBLPBBE
Deluxe Premium Burger Extra Large,Premium Burger,Beef,,,,,DPBEL,PB,BE,DPBELPBBE
Deluxe Premium Burger King Size,Premium Burger,Beef,,,,,DPBKS,PB,BE,DPBKSPBBE
Deluxe Premium Burger Family Size,Premium Burger,Beef,,,,,DPBFS,PB,BE,DPBFSPBBE
Deluxe Premium Burger Combo,Premium Burger,Beef,,,,,DPBC,PB,BE,DPBCPBBE
Deluxe Premium Burger Value Meal,Premium Burger,Beef,,,,,DPBVM,PB,BE,DPBVMPBBE
Deluxe Premium Burger Deluxe Meal,Premium Burger,Beef,,,,,DPBDM,PB,BE,DPBDMPBBE
Deluxe Premium Burger Family Meal,Premium Burger,Beef,,,,,DPBFM,PB,BE,DPBFMPBBE
Grilled Deluxe Premium Burger,Premium Burger,Beef,,,,,GDPB,PB,BE,GDPBPBBE
Fried Deluxe Premium Burger,Premium Burger,Beef,,,,,FDPB,PB,BE,FDPBPBBE
Baked Deluxe Premium Burger,Premium Burger,Beef,,,,,BDPB,PB,BE,BDPBPBBE
Fresh Deluxe Premium Burger,Premium Burger,Beef,,,,,FDPB,PB,BE,FDPBPBBE
Deluxe Premium Burger Extra Crispy,Premium Burger,Beef,,,,,DPBEC,PB,BE,DPBECPBBE
Deluxe Premium Burger No Mayo,Premium Burger,Beef,,,,,DPBNM,PB,BE,DPBNMPBBE
Deluxe Premium Burger Extra Cheese,Premium Burger,Beef,,,,,DPBEC,PB,BE,DPBECPBBE
Deluxe Premium Burger Spicy,Premium Burger,Beef,,,,,DPBS,PB,BE,DPBSPBBE
Deluxe Premium Burger Mild,Premium Burger,Beef,,,,,DPBM,PB,BE,DPBMPBBE
Deluxe Premium Burger BBQ,Premium Burger,Beef,,,,,DPBB,PB,BE,DPBBPBBE
Deluxe Premium Burger on Sesame Bun,Premium Burger,Beef,,,,,DPBoSB,PB,BE,DPBoSBPBBE
Deluxe Premium Burger on Brioche,Premium Burger,Beef,,,,,DPBoB,PB,BE,DPBoBPBBE
Deluxe Premium Burger on Whole Wheat,Premium Burger,Beef,,,,,DPBoWW,PB,BE,DPBoWWPBBE
Deluxe Premium Burger on Sourdough,Premium Burger,Beef,,,,,DPBoS,PB,BE,DPBoSPBBE
Deluxe Premium Burger Combo Small,Premium Burger,Beef,,,,,DPBCS,PB,BE,DPBCSPBBE
Deluxe Premium Burger Value Meal Small,Premium Burger,Beef,,,,,DPBVMS,PB,BE,DPBVMSPBBE
Deluxe Premium Burger Combo Medium,Premium Burger,Beef,,,,,DPBCM,PB,BE,DPBCMPBBE
Deluxe Premium Burger Value Meal Medium,Premium Burger,Beef,,,,,DPBVMM,PB,BE,DPBVMMPBBE
Deluxe Premium Burger Combo Large,Premium Burger,Beef,,,,,DPBCL,PB,BE,DPBCLPBBE
Deluxe Premium Burger Value Meal Large,Premium Burger,Beef,,,,,DPBVML,PB,BE,DPBVMLPBBE
BBQ Premium Burger,Premium Burger,Beef,,,,,BPB,PB,BE,BPBPBBE
BBQ Premium Burger Small,Premium Burger,Beef,,,,,BPBS,PB,BE,BPBSPBBE
BBQ Premium Burger Medium,Premium Burger,Beef,,,,,BPBM,PB,BE,BPBMPBBE
BBQ Premium Burger Large,Premium Burger,Beef,,,,,BPBL,PB,BE,BPBLPBBE
BBQ Premium Burger Extra Large,Premium Burger,Beef,,,,,BPBEL,PB,BE,BPBELPBBE
BBQ Premium Burger King Size,Premium Burger,Beef,,,,,BPBKS,PB,BE,BPBKSPBBE
BBQ Premium Burger Family Size,Premium Burger,Beef,,,,,BPBFS,PB,BE,BPBFSPBBE
BBQ Premium Burger Combo,Premium Burger,Beef,,,,,BPBC,PB,BE,BPBCPBBE
BBQ Premium Burger Value Meal,Premium Burger,Beef,,,,,BPBVM,PB,BE,BPBVMPBBE
BBQ Premium Burger Deluxe Meal,Premium Burger,Beef,,,,,BPBDM,PB,BE,BPBDMPBBE
BBQ Premium Burger Family Meal,Premium Burger,Beef,,,,,BPBFM,PB,BE,BPBFMPBBE
Grilled BBQ Premium Burger,Premium Burger,Beef,,,,,GBPB,PB,BE,GBPBPBBE
Fried BBQ Premium Burger,Premium Burger,Beef,,,,,FBPB,PB,BE,FBPBPBBE
Baked BBQ Premium Burger,Premium Burger,Beef,,,,,BBPB,PB,BE,BBPBPBBE
Fresh BBQ Premium Burger,Premium Burger,Beef,,,,,FBPB,PB,BE,FBPBPBBE
BBQ Premium Burger Extra Crispy,Premium Burger,Beef,,,,,BPBEC,PB,BE,BPBECPBBE
BBQ Premium Burger No Mayo,Premium Burger,Beef,,,,,BPBNM,PB,BE,BPBNMPBBE
BBQ Premium Burger Extra Cheese,Premium Burger,Beef,,,,,BPBEC,PB,BE,BPBECPBBE
BBQ Premium Burger Spicy,Premium Burger,Beef,,,,,BPBS,PB,BE,BPBSPBBE
BBQ Premium Burger Mild,Premium Burger,Beef,,,,,BPBM,PB,BE,BPBMPBBE
BBQ Premium Burger BBQ,Premium Burger,Beef,,,,,BPBB,PB,BE,BPBBPBBE
BBQ Premium Burger on Sesame Bun,Premium Burger,Beef,,,,,BPBoSB,PB,BE,BPBoSBPBBE
BBQ Premium Burger on Brioche,Premium Burger,Beef,,,,,BPBoB,PB,BE,BPBoBPBBE
BBQ Premium Burger on Whole Wheat,Premium Burger,Beef,,,,,BPBoWW,PB,BE,BPBoWWPBBE
BBQ Premium Burger on Sourdough,Premium Burger,Beef,,,,,BPBoS,PB,BE,BPBoSPBBE
BBQ Premium Burger Combo Small,Premium Burger,Beef,,,,,BPBCS,PB,BE,BPBCSPBBE
BBQ Premium Burger Value Meal Small,Premium Burger,Beef,,,,,BPBVMS,PB,BE,BPBVMSPBBE
BBQ Premium Burger Combo Medium,Premium Burger,Beef,,,,,BPBCM,PB,BE,BPBCMPBBE
BBQ Premium Burger Value Meal Medium,Premium Burger,Beef,,,,,BPBVMM,PB,BE,BPBVMMPBBE
BBQ Premium Burger Combo Large,Premium Burger,Beef,,,,,BPBCL,PB,BE,BPBCLPBBE
BBQ Premium Burger Value Meal Large,Premium Burger,Beef,,,,,BPBVML,PB,BE,BPBVMLPBBE
Mushroom Swiss Premium Burger,Premium Burger,Beef,,,,,MSPB,PB,BE,MSPBPBBE
Mushroom Swiss Premium Burger Small,Premium Burger,Beef,,,,,MSPBS,PB,BE,MSPBSPBBE
Mushroom Swiss Premium Burger Medium,Premium Burger,Beef,,,,,MSPBM,PB,BE,MSPBMPBBE
Mushroom Swiss Premium Burger Large,Premium Burger,Beef,,,,,MSPBL,PB,BE,MSPBLPBBE
Mushroom Swiss Premium Burger Extra Large,Premium Burger,Beef,,,,,MSPBEL,PB,BE,MSPBELPBBE
Mushroom Swiss Premium Burger King Size,Premium Burger,Beef,,,,,MSPBKS,PB,BE,MSPBKSPBBE
Mushroom Swiss Premium Burger Family Size,Premium Burger,Beef,,,,,MSPBFS,PB,BE,MSPBFSPBBE
Mushroom Swiss Premium Burger Combo,Premium Burger,Beef,,,,,MSPBC,PB,BE,MSPBCPBBE
Mushroom Swiss Premium Burger Value Meal,Premium Burger,Beef,,,,,MSPBVM,PB,BE,MSPBVMPBBE
Mushroom Swiss Premium Burger Deluxe Meal,Premium Burger,Beef,,,,,MSPBDM,PB,BE,MSPBDMPBBE
Mushroom Swiss Premium Burger Family Meal,Premium Burger,Beef,,,,,MSPBFM,PB,BE,MSPBFMPBBE
Grilled Mushroom Swiss Premium Burger,Premium Burger,Beef,,,,,GMSPB,PB,BE,GMSPBPBBE
Fried Mushroom Swiss Premium Burger,Premium Burger,Beef,,,,,FMSPB,PB,BE,FMSPBPBBE
Baked Mushroom Swiss Premium Burger,Premium Burger,Beef,,,,,BMSPB,PB,BE,BMSPBPBBE
Fresh Mushroom Swiss Premium Burger,Premium Burger,Beef,,,,,FMSPB,PB,BE,FMSPBPBBE
Mushroom Swiss Premium Burger Extra Crispy,Premium Burger,Beef,,,,,MSPBEC,PB,BE,MSPBECPBBE
Mushroom Swiss Premium Burger No Mayo,Premium Burger,Beef,,,,,MSPBNM,PB,BE,MSPBNMPBBE
Mushroom Swiss Premium Burger Extra Cheese,Premium Burger,Beef,,,,,MSPBEC,PB,BE,MSPBECPBBE
Mushroom Swiss Premium Burger Spicy,Premium Burger,Beef,,,,,MSPBS,PB,BE,MSPBSPBBE
Mushroom Swiss Premium Burger Mild,Premium Burger,Beef,,,,,MSPBM,PB,BE,MSPBMPBBE
Mushroom Swiss Premium Burger BBQ,Premium Burger,Beef,,,,,MSPBB,PB,BE,MSPBBPBBE
Mushroom Swiss Premium Burger on Sesame Bun,Premium Burger,Beef,,,,,MSPBoSB,PB,BE,MSPBoSBPBBE
Mushroom Swiss Premium Burger on Brioche,Premium Burger,Beef,,,,,MSPBoB,PB,BE,MSPBoBPBBE
Mushroom Swiss Premium Burger on Whole Wheat,Premium Burger,Beef,,,,,MSPBoWW,PB,BE,MSPBoWWPBBE
Mushroom Swiss Premium Burger on Sourdough,Premium Burger,Beef,,,,,MSPBoS,PB,BE,MSPBoSPBBE
Mushroom Swiss Premium Burger Combo Small,Premium Burger,Beef,,,,,MSPBCS,PB,BE,MSPBCSPBBE
Mushroom Swiss Premium Burger Value Meal Small,Premium Burger,Beef,,,,,MSPBVMS,PB,BE,MSPBVMSPBBE
Mushroom Swiss Premium Burger Combo Medium,Premium Burger,Beef,,,,,MSPBCM,PB,BE,MSPBCMPBBE
Mushroom Swiss Premium Burger Value Meal Medium,Premium Burger,Beef,,,,,MSPBVMM,PB,BE,MSPBVMMPBBE
Mushroom Swiss Premium Burger Combo Large,Premium Burger,Beef,,,,,MSPBCL,PB,BE,MSPBCLPBBE
Mushroom Swiss Premium Burger Value Meal Large,Premium Burger,Beef,,,,,MSPBVML,PB,BE,MSPBVMLPBBE
Pulled Pork BBQ Sandwich,BBQ Sandwich,Pork,,,,,PPBS,BS,PO,PPBSBSPO
Pulled Pork BBQ Sandwich Small,BBQ Sandwich,Pork,,,,,PPBSS,BS,PO,PPBSSBSPO
Pulled Pork BBQ Sandwich Medium,BBQ Sandwich,Pork,,,,,PPBSM,BS,PO,PPBSMBSPO
Pulled Pork BBQ Sandwich Large,BBQ Sandwich,Pork,,,,,PPBSL,BS,PO,PPBSLBSPO
Pulled Pork BBQ Sandwich Extra Large,BBQ Sandwich,Pork,,,,,PPBSEL,BS,PO,PPBSELBSPO
Pulled Pork BBQ Sandwich King Size,BBQ Sandwich,Pork,,,,,PPBSKS,BS,PO,PPBSKSBSPO
Pulled Pork BBQ Sandwich Family Size,BBQ Sandwich,Pork,,,,,PPBSFS,BS,PO,PPBSFSBSPO
Pulled Pork BBQ Sandwich Combo,BBQ Sandwich,Pork,,,,,PPBSC,BS,PO,PPBSCBSPO
Pulled Pork BBQ Sandwich Value Meal,BBQ Sandwich,Pork,,,,,PPBSVM,BS,PO,PPBSVMBSPO
Pulled Pork BBQ Sandwich Deluxe Meal,BBQ Sandwich,Pork,,,,,PPBSDM,BS,PO,PPBSDMBSPO
Pulled Pork BBQ Sandwich Family Meal,BBQ Sandwich,Pork,,,,,PPBSFM,BS,PO,PPBSFMBSPO
Grilled Pulled Pork BBQ Sandwich,BBQ Sandwich,Pork,,,,,GPPBS,BS,PO,GPPBSBSPO
Fried Pulled Pork BBQ Sandwich,BBQ Sandwich,Pork,,,,,FPPBS,BS,PO,FPPBSBSPO
Baked Pulled Pork BBQ Sandwich,BBQ Sandwich,Pork,,,,,BPPBS,BS,PO,BPPBSBSPO
Fresh Pulled Pork BBQ Sandwich,BBQ Sandwich,Pork,,,,,FPPBS,BS,PO,FPPBSBSPO
Sliced Pork BBQ Sandwich,BBQ Sandwich,Pork,,,,,SPBS,BS,PO,SPBSBSPO
Sliced Pork BBQ Sandwich Small,BBQ Sandwich,Pork,,,,,SPBSS,BS,PO,SPBSSBSPO
Sliced Pork BBQ Sandwich Medium,BBQ Sandwich,Pork,,,,,SPBSM,BS,PO,SPBSMBSPO
Sliced Pork BBQ Sandwich Large,BBQ Sandwich,Pork,,,,,SPBSL,BS,PO,SPBSLBSPO
Sliced Pork BBQ Sandwich Extra Large,BBQ Sandwich,Pork,,,,,SPBSEL,BS,PO,SPBSELBSPO
Sliced Pork BBQ Sandwich King Size,BBQ Sandwich,Pork,,,,,SPBSKS,BS,PO,SPBSKSBSPO
Sliced Pork BBQ Sandwich Family Size,BBQ Sandwich,Pork,,,,,SPBSFS,BS,PO,SPBSFSBSPO
Sliced Pork BBQ Sandwich Combo,BBQ Sandwich,Pork,,,,,SPBSC,BS,PO,SPBSCBSPO
Sliced Pork BBQ Sandwich Value Meal,BBQ Sandwich,Pork,,,,,SPBSVM,BS,PO,SPBSVMBSPO
Sliced Pork BBQ Sandwich Deluxe Meal,BBQ Sandwich,Pork,,,,,SPBSDM,BS,PO,SPBSDMBSPO
Sliced Pork BBQ Sandwich Family Meal,BBQ Sandwich,Pork,,,,,SPBSFM,BS,PO,SPBSFMBSPO
Grilled Sliced Pork BBQ Sandwich,BBQ Sandwich,Pork,,,,,GSPBS,BS,PO,GSPBSBSPO
Fried Sliced Pork BBQ Sandwich,BBQ Sandwich,Pork,,,,,FSPBS,BS,PO,FSPBSBSPO
Baked Sliced Pork BBQ Sandwich,BBQ Sandwich,Pork,,,,,BSPBS,BS,PO,BSPBSBSPO
Fresh Sliced Pork BBQ Sandwich,BBQ Sandwich,Pork,,,,,FSPBS,BS,PO,FSPBSBSPO
Single Bacon Burger,Bacon Burger,Pork,,,,,SBB,BB,PO,SBBBBPO
Single Bacon Burger Small,Bacon Burger,Pork,,,,,SBBS,BB,PO,SBBSBBPO
Single Bacon Burger Medium,Bacon Burger,Pork,,,,,SBBM,BB,PO,SBBMBBPO
Single Bacon Burger Large,Bacon Burger,Pork,,,,,SBBL,BB,PO,SBBLBBPO
Single Bacon Burger Extra Large,Bacon Burger,Pork,,,,,SBBEL,BB,PO,SBBELBBPO
Single Bacon Burger King Size,Bacon Burger,Pork,,,,,SBBKS,BB,PO,SBBKSBBPO
Single Bacon Burger Family Size,Bacon Burger,Pork,,,,,SBBFS,BB,PO,SBBFSBBPO
Single Bacon Burger Combo,Bacon Burger,Pork,,,,,SBBC,BB,PO,SBBCBBPO
Single Bacon Burger Value Meal,Bacon Burger,Pork,,,,,SBBVM,BB,PO,SBBVMBBPO
Single Bacon Burger Deluxe Meal,Bacon Burger,Pork,,,,,SBBDM,BB,PO,SBBDMBBPO
Single Bacon Burger Family Meal,Bacon Burger,Pork,,,,,SBBFM,BB,PO,SBBFMBBPO
Grilled Single Bacon Burger,Bacon Burger,Pork,,,,,GSBB,BB,PO,GSBBBBPO
Fried Single Bacon Burger,Bacon Burger,Pork,,,,,FSBB,BB,PO,FSBBBBPO
Baked Single Bacon Burger,Bacon Burger,Pork,,,,,BSBB,BB,PO,BSBBBBPO
Fresh Single Bacon Burger,Bacon Burger,Pork,,,,,FSBB,BB,PO,FSBBBBPO
Double Bacon Burger,Bacon Burger,Pork,,,,,DBB,BB,PO,DBBBBPO
Double Bacon Burger Small,Bacon Burger,Pork,,,,,DBBS,BB,PO,DBBSBBPO
Double Bacon Burger Medium,Bacon Burger,Pork,,,,,DBBM,BB,PO,DBBMBBPO
Double Bacon Burger Large,Bacon Burger,Pork,,,,,DBBL,BB,PO,DBBLBBPO
Double Bacon Burger Extra Large,Bacon Burger,Pork,,,,,DBBEL,BB,PO,DBBELBBPO
Double Bacon Burger King Size,Bacon Burger,Pork,,,,,DBBKS,BB,PO,DBBKSBBPO
Double Bacon Burger Family Size,Bacon Burger,Pork,,,,,DBBFS,BB,PO,DBBFSBBPO
Double Bacon Burger Combo,Bacon Burger,Pork,,,,,DBBC,BB,PO,DBBCBBPO
Double Bacon Burger Value Meal,Bacon Burger,Pork,,,,,DBBVM,BB,PO,DBBVMBBPO
Double Bacon Burger Deluxe Meal,Bacon Burger,Pork,,,,,DBBDM,BB,PO,DBBDMBBPO
Double Bacon Burger Family Meal,Bacon Burger,Pork,,,,,DBBFM,BB,PO,DBBFMBBPO
Grilled Double Bacon Burger,Bacon Burger,Pork,,,,,GDBB,BB,PO,GDBBBBPO
Fried Double Bacon Burger,Bacon Burger,Pork,,,,,FDBB,BB,PO,FDBBBBPO
Baked Double Bacon Burger,Bacon Burger,Pork,,,,,BDBB,BB,PO,BDBBBBPO
Fresh Double Bacon Burger,Bacon Burger,Pork,,,,,FDBB,BB,PO,FDBBBBPO
Sausage Breakfast Sandwich,Breakfast Sandwich,Pork,,,,,SBS,BS,PO,SBSBSPO
Sausage Breakfast Sandwich Small,Breakfast Sandwich,Pork,,,,,SBSS,BS,PO,SBSSBSPO
Sausage Breakfast Sandwich Medium,Breakfast Sandwich,Pork,,,,,SBSM,BS,PO,SBSMBSPO
Sausage Breakfast Sandwich Large,Breakfast Sandwich,Pork,,,,,SBSL,BS,PO,SBSLBSPO
Sausage Breakfast Sandwich Extra Large,Breakfast Sandwich,Pork,,,,,SBSEL,BS,PO,SBSELBSPO
Sausage Breakfast Sandwich King Size,Breakfast Sandwich,Pork,,,,,SBSKS,BS,PO,SBSKSBSPO
Sausage Breakfast Sandwich Family Size,Breakfast Sandwich,Pork,,,,,SBSFS,BS,PO,SBSFSBSPO
Sausage Breakfast Sandwich Combo,Breakfast Sandwich,Pork,,,,,SBSC,BS,PO,SBSCBSPO
Sausage Breakfast Sandwich Value Meal,Breakfast Sandwich,Pork,,,,,SBSVM,BS,PO,SBSVMBSPO
Sausage Breakfast Sandwich Deluxe Meal,Breakfast Sandwich,Pork,,,,,SBSDM,BS,PO,SBSDMBSPO
Sausage Breakfast Sandwich Family Meal,Breakfast Sandwich,Pork,,,,,SBSFM,BS,PO,SBSFMBSPO
Grilled Sausage Breakfast Sandwich,Breakfast Sandwich,Pork,,,,,GSBS,BS,PO,GSBSBSPO
Fried Sausage Breakfast Sandwich,Breakfast Sandwich,Pork,,,,,FSBS,BS,PO,FSBSBSPO
Baked Sausage Breakfast Sandwich,Breakfast Sandwich,Pork,,,,,BSBS,BS,PO,BSBSBSPO
Fresh Sausage Breakfast Sandwich,Breakfast Sandwich,Pork,,,,,FSBS,BS,PO,FSBSBSPO
Bacon Breakfast Sandwich,Breakfast Sandwich,Pork,,,,,BBS,BS,PO,BBSBSPO
Bacon Breakfast Sandwich Small,Breakfast Sandwich,Pork,,,,,BBSS,BS,PO,BBSSBSPO
Bacon Breakfast Sandwich Medium,Breakfast Sandwich,Pork,,,,,BBSM,BS,PO,BBSMBSPO
Bacon Breakfast Sandwich Large,Breakfast Sandwich,Pork,,,,,BBSL,BS,PO,BBSLBSPO
Bacon Breakfast Sandwich Extra Large,Breakfast Sandwich,Pork,,,,,BBSEL,BS,PO,BBSELBSPO
Bacon Breakfast Sandwich King Size,Breakfast Sandwich,Pork,,,,,BBSKS,BS,PO,BBSKSBSPO
Bacon Breakfast Sandwich Family Size,Breakfast Sandwich,Pork,,,,,BBSFS,BS,PO,BBSFSBSPO
Bacon Breakfast Sandwich Combo,Breakfast Sandwich,Pork,,,,,BBSC,BS,PO,BBSCBSPO
Bacon Breakfast Sandwich Value Meal,Breakfast Sandwich,Pork,,,,,BBSVM,BS,PO,BBSVMBSPO
Bacon Breakfast Sandwich Deluxe Meal,Breakfast Sandwich,Pork,,,,,BBSDM,BS,PO,BBSDMBSPO
Bacon Breakfast Sandwich Family Meal,Breakfast Sandwich,Pork,,,,,BBSFM,BS,PO,BBSFMBSPO
Grilled Bacon Breakfast Sandwich,Breakfast Sandwich,Pork,,,,,GBBS,BS,PO,GBBSBSPO
Fried Bacon Breakfast Sandwich,Breakfast Sandwich,Pork,,,,,FBBS,BS,PO,FBBSBSPO
Baked Bacon Breakfast Sandwich,Breakfast Sandwich,Pork,,,,,BBBS,BS,PO,BBBSBSPO
Fresh Bacon Breakfast Sandwich,Breakfast Sandwich,Pork,,,,,FBBS,BS,PO,FBBSBSPO
Ham Breakfast Sandwich,Breakfast Sandwich,Pork,,,,,HBS,BS,PO,HBSBSPO
Ham Breakfast Sandwich Small,Breakfast Sandwich,Pork,,,,,HBSS,BS,PO,HBSSBSPO
Ham Breakfast Sandwich Medium,Breakfast Sandwich,Pork,,,,,HBSM,BS,PO,HBSMBSPO
Ham Breakfast Sandwich Large,Breakfast Sandwich,Pork,,,,,HBSL,BS,PO,HBSLBSPO
Ham Breakfast Sandwich Extra Large,Breakfast Sandwich,Pork,,,,,HBSEL,BS,PO,HBSELBSPO
Ham Breakfast Sandwich King Size,Breakfast Sandwich,Pork,,,,,HBSKS,BS,PO,HBSKSBSPO
Ham Breakfast Sandwich Family Size,Breakfast Sandwich,Pork,,,,,HBSFS,BS,PO,HBSFSBSPO
Ham Breakfast Sandwich Combo,Breakfast Sandwich,Pork,,,,,HBSC,BS,PO,HBSCBSPO
Ham Breakfast Sandwich Value Meal,Breakfast Sandwich,Pork,,,,,HBSVM,BS,PO,HBSVMBSPO
Ham Breakfast Sandwich Deluxe Meal,Breakfast Sandwich,Pork,,,,,HBSDM,BS,PO,HBSDMBSPO
Ham Breakfast Sandwich Family Meal,Breakfast Sandwich,Pork,,,,,HBSFM,BS,PO,HBSFMBSPO
Grilled Ham Breakfast Sandwich,Breakfast Sandwich,Pork,,,,,GHBS,BS,PO,GHBSBSPO
Fried Ham Breakfast Sandwich,Breakfast Sandwich,Pork,,,,,FHBS,BS,PO,FHBSBSPO
Baked Ham Breakfast Sandwich,Breakfast Sandwich,Pork,,,,,BHBS,BS,PO,BHBSBSPO
Fresh Ham Breakfast Sandwich,Breakfast Sandwich,Pork,,,,,FHBS,BS,PO,FHBSBSPO
BBQ Pork Ribs,Pork Ribs,Pork,,,,,BPR,PR,PO,BPRPRPO
BBQ Pork Ribs Small,Pork Ribs,Pork,,,,,BPRS,PR,PO,BPRSPRPO
BBQ Pork Ribs Medium,Pork Ribs,Pork,,,,,BPRM,PR,PO,BPRMPRPO
BBQ Pork Ribs Large,Pork Ribs,Pork,,,,,BPRL,PR,PO,BPRLPRPO
BBQ Pork Ribs Extra Large,Pork Ribs,Pork,,,,,BPREL,PR,PO,BPRELPRPO
BBQ Pork Ribs King Size,Pork Ribs,Pork,,,,,BPRKS,PR,PO,BPRKSPRPO
BBQ Pork Ribs Family Size,Pork Ribs,Pork,,,,,BPRFS,PR,PO,BPRFSPRPO
4-piece BBQ Pork Ribs,Pork Ribs,Pork,,,,,4BPR,PR,PO,4BPRPRPO
6-piece BBQ Pork Ribs,Pork Ribs,Pork,,,,,6BPR,PR,PO,6BPRPRPO
8-piece BBQ Pork Ribs,Pork Ribs,Pork,,,,,8BPR,PR,PO,8BPRPRPO
10-piece BBQ Pork Ribs,Pork Ribs,Pork,,,,,1BPR,PR,PO,1BPRPRPO
12-piece BBQ Pork Ribs,Pork Ribs,Pork,,,,,1BPR,PR,PO,1BPRPRPO
15-piece BBQ Pork Ribs,Pork Ribs,Pork,,,,,1BPR,PR,PO,1BPRPRPO
20-piece BBQ Pork Ribs,Pork Ribs,Pork,,,,,2BPR,PR,PO,2BPRPRPO
BBQ Pork Ribs Combo,Pork Ribs,Pork,,,,,BPRC,PR,PO,BPRCPRPO
BBQ Pork Ribs Value Meal,Pork Ribs,Pork,,,,,BPRVM,PR,PO,BPRVMPRPO
BBQ Pork Ribs Deluxe Meal,Pork Ribs,Pork,,,,,BPRDM,PR,PO,BPRDMPRPO
BBQ Pork Ribs Family Meal,Pork Ribs,Pork,,,,,BPRFM,PR,PO,BPRFMPRPO
Grilled BBQ Pork Ribs,Pork Ribs,Pork,,,,,GBPR,PR,PO,GBPRPRPO
Fried BBQ Pork Ribs,Pork Ribs,Pork,,,,,FBPR,PR,PO,FBPRPRPO
Baked BBQ Pork Ribs,Pork Ribs,Pork,,,,,BBPR,PR,PO,BBPRPRPO
Fresh BBQ Pork Ribs,Pork Ribs,Pork,,,,,FBPR,PR,PO,FBPRPRPO
4-piece BBQ Pork Ribs Small,Pork Ribs,Pork,,,,,4BPRS,PR,PO,4BPRSPRPO
6-piece BBQ Pork Ribs Small,Pork Ribs,Pork,,,,,6BPRS,PR,PO,6BPRSPRPO
